key	suite	cluster	model	ours	want	sameboy	provenance	bucket	evidence
cgb-acid-hell/cgb-acid-hell.gbc [Cgb]	acid	acid	Cgb	2px-diff	reference-png	PASS	hw-capture:png	BUG	SameBoy reproduces the captured value; we do not
age-test-roms/lcd-align-ly/lcd-align-ly-cgbBC.gb [Cgb]	age	age/lcd-align-ly	Cgb	B=00,C=6B,D=14,E=06,H=98,L=10	fib:03/05/08/0D/15/22	unknown	hw-age:cgbBC	BUG	hardware-captured want; SameBoy verdict unmeasured
age-test-roms/m3-bg-bgp/m3-bg-bgp.gb [Dmg]	age	age/m3-bg-bgp	Dmg	2px-diff	reference-png	unknown	hw-age	BUG	hardware-captured want; SameBoy verdict unmeasured
age-test-roms/m3-bg-lcdc/m3-bg-lcdc-nocgb.gb [Cgb]	age	age/m3-bg-lcdc	Cgb	256px-diff	reference-png	unknown	hw-age	BUG	hardware-captured want; SameBoy verdict unmeasured
age-test-roms/m3-bg-lcdc/m3-bg-lcdc.gb [Cgb]	age	age/m3-bg-lcdc	Cgb	256px-diff	reference-png	unknown	hw-age	BUG	hardware-captured want; SameBoy verdict unmeasured
age-test-roms/oam/oam-read-dmgC-cgbBC.gb [Cgb]	age	age/oam	Cgb	B=00,C=6B,D=14,E=06,H=98,L=10	fib:03/05/08/0D/15/22	unknown	hw-age:dmgC	BUG	hardware-captured want; SameBoy verdict unmeasured
age-test-roms/oam/oam-read-dmgC-cgbBC.gb [Dmg]	age	age/oam	Dmg	B=00,C=6B,D=14,E=06,H=98,L=10	fib:03/05/08/0D/15/22	unknown	hw-age:dmgC	BUG	hardware-captured want; SameBoy verdict unmeasured
age-test-roms/oam/oam-read-ncmBC.gb [Cgb]	age	age/oam	Cgb	B=00,C=6B,D=14,E=19,H=98,L=10	fib:03/05/08/0D/15/22	unknown	hw-age:ncmBC	BUG	hardware-captured want; SameBoy verdict unmeasured
age-test-roms/oam/oam-write-cgbBCE.gb [Cgb]	age	age/oam	Cgb	B=00,C=6B,D=14,E=06,H=98,L=10	fib:03/05/08/0D/15/22	unknown	hw-age:cgbBCE	BUG	hardware-captured want; SameBoy verdict unmeasured
age-test-roms/oam/oam-write-dmgC.gb [Dmg]	age	age/oam	Dmg	B=00,C=6B,D=14,E=06,H=98,L=10	fib:03/05/08/0D/15/22	unknown	hw-age:dmgC	BUG	hardware-captured want; SameBoy verdict unmeasured
