class	rel	addr	sl_ly	sl_dot	sl_m	sb_ly	sb_cfl	sb_dc	sb_dot	off
ENGINE-IF	gambatte/lycEnable/ff41_disable_2_dmg08_out0_cgb04c_out2.gbc	ff0f	6	8	00	6	0	0	0	-8
ENGINE-IF	gambatte/ly0/lycint152_lyc153irq_2_dmg08_cgb04c_outE2.gbc	ff0f	153	4	00	153	0	0	0	-4
ENGINE-IF	gambatte/ly0/lycint152_lyc153irq_ifw_2_dmg08_cgb04c_outE0.gbc	ff0f	153	16	02	153	0	-8	-4	-20
ENGINE-IF	gambatte/lyc153int_m2irq/lyc153int_m2irq_late_retrigger_1_dmg08_cgb04c_out2.gbc	ff0f	0	48	00	0	0	0	0	-48
ENGINE-IF	gambatte/lyc153int_m2irq/lyc153int_m2irq_1_dmg08_cgb04c_out0.gbc	ff0f	0	4	02	0	0	0	0	-4
ENGINE-IF	gambatte/lycEnable/ff45_disable_2_dmg08_out1_cgb04c_out3.gbc	ff0f	6	8	01	6	0	0	0	-8
ENGINE-IF	gambatte/ly0/lycint152_lyc153irq_ifw_ds_2_cgb04c_outE0.gbc	ff0f	153	10	02	153	0	0	0	-10
ENGINE-IF	gambatte/ly0/lycint152_lyc153irq_ds_2_cgb04c_outE2.gbc	ff0f	153	4	00	153	0	-4	-2	-6
ENGINE-IF	gambatte/lycEnable/late_ff41_enable_2_dmg08_out2_cgb04c_out0.gbc	ff0f	7	8	02	7	0	0	0	-8
ENGINE-IF	gambatte/lycEnable/lyc0_ff41_disable_2_dmg08_cgb04c_outE2.gbc	ff0f	153	32	00	153	0	-840	-420	-452
ENGINE-IF	gambatte/lycEnable/late_ff45_enable_3_dmg08_cgb04c_out1.gbc	ff0f	7	8	03	7	0	0	0	-8
ENGINE-IF	gambatte/lycEnable/late_ff45_enable_2_dmg08_out3_cgb04c_out1.gbc	ff0f	7	4	03	7	0	0	0	-4
ENGINE-IF	gambatte/lycEnable/lyc0_ff45_disable_2_dmg08_outE0_cgb04c_outE2.gbc	ff0f	153	32	00	153	0	-840	-420	-452
ENGINE-IF	gambatte/lycEnable/lyc153_late_ff41_enable_2_dmg08_outE2_cgb04c_outE0.gbc	ff0f	153	52	02	153	0	-800	-400	-452
ENGINE-IF	gambatte/lycEnable/late_ff45_enable_ds_2_cgb04c_out1.gbc	ff0f	7	4	03	7	0	0	0	-4
ENGINE-IF	gambatte/lycEnable/lyc153_m1disable_ds_2_cgb04c_outE0.gbc	ff0f	153	36	02	153	0	-836	-418	-454
ENGINE-IF	gambatte/lycEnable/lyc_ff45_disable2_2_dmg08_out1_cgb04c_out3.gbc	ff0f	6	12	01	6	0	0	0	-12
ENGINE-IF	gambatte/m1/lyc143_late_m0enable_lycdisable_2_dmg08_cgb04c_out1.gbc	ff0f	144	12	03	144	0	-880	-440	-452
ENGINE-IF	gambatte/m0enable/late_enable_2_dmg08_out2_cgb04c_out0.gbc	ff0f	2	8	02	2	0	0	0	-8
ENGINE-IF	gambatte/m0enable/lycdisable_ff41_ds_1_cgb04c_out2.gbc	ff0f	136	296	00	138	0	-312	-156	-452
ENGINE-IF	gambatte/m1/lycint143_m1irq_late_retrigger_ds_1_cgb04c_out3.gbc	ff0f	144	26	01	144	0	-856	-428	-454
ENGINE-IF	gambatte/m1/lycint_vblankirq_late_retrigger_ds_1_cgb04c_out1.gbc	ff0f	144	42	00	144	0	-824	-412	-454
ENGINE-IF	gambatte/m2enable/late_enable_ly0_lcdoffset2_1_cgb04c_out2.gbc	ff0f	0	16	00	0	0	0	0	-16
ENGINE-IF	gambatte/m2enable/late_enable_ly0_ds_lcdoffset1_1_cgb04c_out2.gbc	ff0f	0	10	00	0	0	-2	-1	-11
ENGINE-IF	gambatte/m2enable/lyc0_late_m2enable_lycdisable_2_dmg08_out2_cgb04c_out0.gbc	ff0f	0	12	02	0	0	0	0	-12
ENGINE-IF	gambatte/miscmstatirq/lycstatwirq_trigger_m0_late_ly44_lyc44_08_40_4_dmg08_cgb04c_outE0.gbc	ff0f	69	16	02	69	0	0	0	-16
ENGINE-IF	gambatte/miscmstatirq/lycstatwirq_trigger_ly00_10_50_ds_1_cgb04c_outE0.gbc	ff0f	0	12	02	0	0	0	0	-12
ENGINE-IF	gambatte/miscmstatirq/lycwirq_trigger_m0_late_ly44_4_dmg08_cgb04c_outE0.gbc	ff0f	69	16	02	69	0	0	0	-16
ENGINE-IF	gambatte/miscmstatirq/lycstatwirq_trigger_m0_late_ly44_lyc44_08_40_ds_2_cgb04c_outE0.gbc	ff0f	69	8	02	69	0	0	0	-8
READ-FRAME	gambatte/irq_precedence/late_m0irq_retrigger_scx1_1_dmg08_cgb04c_outE2.gbc	ff0f	1	296	00	1	0	-308	-154	-450
ENGINE-IF	gambatte/miscmstatirq/lycwirq_trigger_m0_late_ly44_ds_2_cgb04c_outE0.gbc	ff0f	69	8	02	69	0	0	0	-8
READ-FRAME	gambatte/irq_precedence/late_m0irq_retrigger_ds_1_cgb04c_outE2.gbc	ff0f	135	274	00	137	0	-352	-176	-450
READ-FRAME	gambatte/m2int_m0irq/m2int_m0irq_ds_2_cgb04c_out3.gbc	ff0f	135	254	01	137	259	-2	258	4
READ-FRAME	gambatte/m2int_m0irq/m2int_m0irq_scx3_ifw_ds_2_cgb04c_out0.gbc	ff0f	135	262	02	137	0	-376	-188	-450
READ-FRAME	gambatte/m2int_m2irq/m2int_m2irq_late_retrigger_1_dmg08_cgb04c_out2.gbc	ff0f	2	44	00	2	0	0	0	-44
READ-FRAME	gambatte/m2int_m0stat/m2int_m0stat_ds_2_cgb04c_out2.gbc	ff41	136	2	0	138	0	0	0	-2
READ-FRAME	gambatte/m2int_m0irq/m2int_m0irq_scx4_ifw_ds_2_cgb04c_out0.gbc	ff0f	135	264	02	137	0	-372	-186	-450
READ-FRAME	gambatte/serial/start_wait_trigger_int8_read_if_1_dmg08_cgb04c_outE8.gbc	ff0f	8	28	00	10	168	0	168	140
READ-FRAME	gambatte/m2int_m2stat/m2int_m2stat_ds_2_cgb04c_out3.gbc	ff41	135	82	2	137	87	-2	86	4
READ-FRAME	gambatte/m2int_m2stat/m2int_scx4_m2stat_ds_2_cgb04c_out3.gbc	ff41	135	82	2	137	87	-2	86	4
READ-FRAME	gambatte/tima/tc00_irq_late_retrigger_1_dmg08_cgb04c_outE4.gbc	ff0f	151	440	00	1	180	0	180	-260
READ-FRAME	gambatte/serial/start_wait_trigger_int8_read_if_ds_1_cgb04c_outE8.gbc	ff0f	143	122	00	145	0	-632	-316	-438
RENDER-LENGTH	gambatte/cgbpal_m3/cgbpal_m3end_scx2_2_cgb04c_out0.gbc	ff41	0	92	3	0	96	0	96	4
RENDER-LENGTH	gambatte/cgbpal_m3/cgbpal_m3end_scx5_2_cgb04c_out0.gbc	ff41	0	92	3	0	96	0	96	4
READ-FRAME	gambatte/tima/tc00_irq_late_retrigger_ds_1_cgb04c_outE4.gbc	ff0f	138	356	00	140	0	-160	-80	-436
RENDER-LENGTH	gambatte/cgbpal_m3/cgbpal_m3end_ds_2_cgb04c_out0.gbc	ff41	134	134	3	136	152	0	152	18
RENDER-LENGTH	gambatte/cgbpal_m3/cgbpal_m3start_2_cgb04c_out0.gbc	ff41	0	92	3	0	96	0	96	4
RENDER-LENGTH	gambatte/cgbpal_m3/cgbpal_m3end_scx5_ds_2_cgb04c_out0.gbc	ff41	134	134	3	136	152	0	152	18
RENDER-LENGTH	gambatte/cgbpal_m3/cgbpal_read_m3start_2_cgb04c_outFF.gbc	ff41	NA	NA	NA	NA	NA	NA	NA	NA
